ROWID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL
188,103963,1084700,10847,Arizona Automotive Institute,Glendale,AZ,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
189,104090,2218800,22188,Brookline College-Phoenix,Phoenix,AZ,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
190,104151,108100,1081,Arizona State University-Tempe,Tempe,AZ,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
191,104160,107100,1071,Arizona Western College,Yuma,AZ,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
192,104179,108300,1083,University of Arizona,Tucson,AZ,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
193,104188,2491500,24915,Southwest University of Visual Arts-Tucson,Tucson,AZ,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
194,104294,2561900,25619,Brillare Hairdressing Academy,Scottsdale,AZ,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
195,104346,728300,7283,Central Arizona College,Coolidge,AZ,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
196,104364,4051325,40513,Brown Mackie College-Tucson,Tucson,AZ,http://www.meridys.com/images/stories/logos/cvcclogo.png
197,104391,2280500,22805,Charles of Italy Beauty College,Lake Havasu City,AZ,http://www.collegeatlas.org/wp-content/uploads/2014/04/concordia-college-selma.jpg
198,104425,107200,1072,Cochise College,Douglas,AZ,http://open-site.org/img/logos/101116.jpg
199,104434,1054207,10542,Empire Beauty School-Flagstaff,Flagstaff,AZ,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/082014/enterprise_state_community_college.jpg?itok=QxPCPadw
200,104443,1054208,10542,Empire Beauty School-Chandler,Chandler,AZ,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
